Ang. Ataq,Coef. Sust.,Coef.Arrastre ,Fineza ideal,Cualidad Sustentadora,CD inducido,CD total,Fineza total
alpha,CL,CD ala,?,C.S.,CDi,CDt,?t
-7,0.0468,0.04025,1.162732919,0.25153759,4.30355E-05,0.045293035,1.03327144
-6.5,0.0891,0.03298,2.701637356,0.806428569,0.000155988,0.038135988,2.336375829
-6,0.1392,0.03815,3.648754915,1.361332806,0.000380727,0.043530727,3.197741225
-3.5,0.3953,0.00867,45.59400231,28.66626584,0.003070356,0.016740356,23.61359572
-3,0.452,0.00841,53.74554102,36.13363526,0.00401432,0.01742432,25.94075417
-2.5,0.5081,0.00741,68.56950067,48.87711735,0.005072634,0.017482634,29.0631268
-2,0.5622,0.00737,76.28222524,57.19641045,0.00621036,0.01858036,30.25775559
-1.5,0.6231,0.00556,112.0683453,88.46303504,0.007628701,0.018188701,34.25753092
-1,0.6778,0.0055,123.2363636,101.458785,0.009026892,0.019526892,34.71110525
-0.5,0.7342,0.00537,136.7225326,117.1513465,0.010591656,0.020961656,35.0258584
0,0.7882,0.00543,145.1565378,128.8708866,0.012206973,0.022636973,34.81914344
0.5,0.8414,0.0055,152.9818182,140.3269455,0.013910416,0.024410416,34.46889184
1,0.8945,0.00556,160.881295,152.1583274,0.015721566,0.026281566,34.03526262
2,0.9995,0.00553,180.7414105,180.6962195,0.019629115,0.030159115,33.14089338
2.5,1.0506,0.0056,187.6071429,192.2950335,0.021687521,0.032287521,32.53888743
3,1.0931,0.00581,188.141136,196.7042344,0.023477665,0.034287665,31.88026948
3.5,1.1424,0.00631,181.0459588,193.507558,0.025643158,0.036953158,30.91481416
4,1.1895,0.00694,171.3976945,186.9335265,0.02780123,0.03974123,29.93113222
4.5,1.234,0.00772,159.8445596,177.5642123,0.029920265,0.042640265,28.93978279
5,1.2806,0.00833,153.7334934,173.9703531,0.032222713,0.045552713,28.11248565
5.5,1.3223,0.00923,143.2611051,164.7378129,0.034355408,0.048585408,27.21599053
6,1.3646,0.01005,135.7810945,158.6141721,0.036588605,0.051638605,26.42596583
6.5,1.4046,0.01095,128.2739726,152.0249527,0.038765058,0.054715058,25.67117801
7,1.445,0.01163,124.2476354,149.3557874,0.041027099,0.057657099,25.06196168
7.5,1.4864,0.0122,121.8360656,148.5401008,0.043411671,0.060611671,24.52332971
8,1.5362,0.01227,125.199674,155.1769024,0.04636931,0.06363931,24.13916803
8.5,1.5734,0.01302,120.8448541,151.5820355,0.048642222,0.066662222,23.60257363
9,1.6075,0.01397,115.0680029,145.8915258,0.050773497,0.069743497,23.0487439
9.5,1.6418,0.01485,110.5589226,141.6621808,0.052963371,0.072813371,22.5480566
10,1.6794,0.01559,107.7228993,139.5999003,0.055417051,0.076007051,22.09531853
10.5,1.7078,0.01683,101.4735591,132.6085108,0.057307192,0.079137192,21.58024502
11,1.7382,0.01798,96.67408231,127.4558962,0.059365565,0.082345565,21.10860499
11.5,1.7647,0.01944,90.77674897,120.5896592,0.061189497,0.085629497,20.60855265
12,1.7914,0.02091,85.67192731,114.666042,0.063055105,0.088965105,20.1359848
12.5,1.8149,0.02257,80.4120514,108.3296879,0.064720299,0.092290299,19.66512215
13,1.8403,0.02424,75.919967,102.9912487,0.06654453,0.09578453,19.21291456
13.5,1.8663,0.02596,71.89137134,98.21266504,0.068438113,0.099398113,18.77601041
14,1.8879,0.02803,67.35283625,92.54338524,0.070031445,0.103061445,18.31819848
14.5,1.9072,0.03037,62.79881462,86.72604972,0.071470626,0.106840626,17.85088747
15.5,1.9223,0.0374,51.39839572,71.26235112,0.072606825,0.115006825,16.71466023
16,1.9299,0.04136,46.66102515,64.82188844,0.073182076,0.119542076,16.14410645
16.5,1.9365,0.04566,42.41130092,59.01879591,0.073683478,0.124343478,15.57379636
17.5,1.9473,0.05516,35.30275562,49.26347443,0.074507646,0.134667646,14.46004339
18,1.948,0.06074,32.07112282,44.76191325,0.074561222,0.140301222,13.8844122
18.5,1.9427,0.06716,28.92644431,40.31790181,0.074156051,0.146316051,13.27742233
19,1.934,0.07442,25.98763773,36.14057342,0.073493351,0.152913351,12.64768565
19.5,1.9222,0.0826,23.27118644,32.26397051,0.072599271,0.160199271,11.99880618
20,1.9068,0.09166,20.80296749,28.72617898,0.07144065,0.16810065,11.34320418
20.5,1.8876,0.10157,18.58422763,25.53286215,0.07000919,0.17657919,10.6898214
21,1.8643,0.11231,16.59959042,22.66497645,0.068291509,0.185601509,10.04463814
21.5,1.8305,0.12516,14.62527964,19.78741423,0.065837689,0.195997689,9.339395825
22,1.7986,0.13776,13.05603949,17.50970179,0.063562986,0.206322986,8.717400009
22.5,1.7654,0.14973,11.79055633,15.66591835,0.061238051,0.215968051,8.174357249
23,1.719,0.16604,10.35292701,13.57378889,0.058061315,0.229101315,7.503230619
23.5,1.6753,0.1834,9.134678299,11.82332292,0.055146797,0.243546797,6.878760154
24,1.6172,0.20639,7.835650952,9.964532958,0.051388102,0.262778102,6.154241877
24.5,1.5519,0.23446,6.619039495,8.245686881,0.047321944,0.286781944,5.411428549
25,1.4993,0.26167,5.729735927,7.015827091,0.044168454,0.310838454,4.823405799
25.5,1.4285,0.29903,4.777112664,5.709598981,0.040095497,0.344125497,4.151101886
