 Altitude ,Temperature,Acceleration of Gravity,Absolute Pressure,Density,Dynamic Viscosity,Density2
-ÿhÿ-,-ÿt -,-ÿg -,-ÿp -,-ÿ? -,-ÿ? -,-ÿ? -
(m),(oC),(m/s2),(104ÿN/m2),(kg/m3),(10-5ÿN s/m2),UTM/m3
-1000,21.5,9.81,11.39,1.347,1.821,0.137308869
0,15,9.807,10.13,1.225,1.789,0.124872579
1000,8.5,9.804,8.988,1.112,1.758,0.113353721
2000,2,9.801,7.95,1.007,1.726,0.102650357
3000,-4.49,9.797,7.012,0.9093,1.694,0.092691131
4000,-10.98,9.794,6.166,0.8194,1.661,0.083527013
5000,-17.47,9.791,5.405,0.7364,1.628,0.075066259
6000,-23.96,9.788,4.722,0.6601,1.595,0.067288481
7000,-30.45,9.785,4.111,0.59,1.561,0.060142712
8000,-36.94,9.782,3.565,0.5258,1.527,0.053598369
9000,-43.42,9.779,3.08,0.4671,1.493,0.047614679
10000,-49.9,9.776,2.65,0.4135,1.458,0.042150866
15000,-56.5,9.761,1.211,0.1948,1.422,0.019857288
20000,-56.5,9.745,0.5529,0.08891,1.422,0.009063201
25000,-51.6,9.73,0.2549,0.04008,1.448,0.004085627
30000,-46.64,9.715,0.1197,0.01841,1.475,0.001876656
35000,-34.72,9.6995,0.0742,0.011203,1.538,0.001141998
40000,-22.8,9.684,0.0287,0.003996,1.601,0.000407339
50000,-2.5,9.654,0.007978,0.001027,1.704,0.000104689
60000,-26.13,9.624,0.002196,0.0003097,1.584,3.15698E-05
70000,-53.57,9.594,0.00052,0.00008283,1.438,8.44343E-06
80000,-74.51,9.564,0.00011,0.00001846,1.321,1.88175E-06
