Altitude,Temperature,Acceleration of Gravity,Absolute Pressure,Density,Dynamic Viscosity,Density2,Viento_Empirico_ms,Reynolds_Millones
-1000,21.5,9.81,11.39,1.347,1.821,0.137308869,3.0,2.610835287973641e-05
0,15.0,9.807,10.13,1.225,1.789,0.124872579,3.0,2.4168381749580775e-05
1000,8.5,9.804,8.988,1.112,1.758,0.113353721,4.2,2.232583653242321e-05
2000,2.0,9.801,7.95,1.007,1.726,0.102650357,5.5,2.059256773696408e-05
3000,-4.49,9.797,7.012,0.9093,1.694,0.092691131,7.0,1.8945916073553717e-05
4000,-10.98,9.794,6.166,0.8194,1.661,0.083527013,8.5,1.7411979662131243e-05
5000,-17.47,9.791,5.405,0.7364,1.628,0.075066259,11.0,1.596545144520885e-05
6000,-23.96,9.788,4.722,0.6601,1.595,0.067288481,14.0,1.4607330965642632e-05
7000,-30.45,9.785,4.111,0.59,1.561,0.060142712,18.0,1.3340463920563743e-05
8000,-36.94,9.782,3.565,0.5258,1.527,0.053598369,22.0,1.2153556065225934e-05
9000,-43.42,9.779,3.08,0.4671,1.493,0.047614679,26.0,1.1042613800535833e-05
10000,-49.9,9.776,2.65,0.4135,1.458,0.042150866,30.0,1.0010132220164609e-05
15000,-56.5,9.761,1.211,0.1948,1.422,0.019857288,35.0,4.835163677637131e-06
20000,-56.5,9.745,0.5529,0.08891,1.422,0.009063201,20.0,2.206850115907173e-06
25000,-51.6,9.73,0.2549,0.04008,1.448,0.004085627,12.0,9.769694310497237e-07
30000,-46.64,9.715,0.1197,0.01841,1.475,0.001876656,8.0,4.4053821953898305e-07
35000,-34.72,9.6995,0.0742,0.011203,1.538,0.001141998,15.0,2.570986667789337e-07
